package,version
abind,1.4-5
acepack,1.4.1
AER,1.2-7
Amelia,1.7.5
arm,1.10-1
arrayhelpers,1.0-20160527
askpass,1.1
assertthat,0.2.1
backports,1.1.4
BART,2.5
base,3.6.1
base64enc,0.1-3
bayesplot,1.7.0
BH,1.69.0-1
bibtex,0.4.2
bindr,0.1.1
bindrcpp,0.2.2
bitops,1.0-6
blme,1.0-4
blogdown,0.15
bookdown,0.13
boot,1.3-23
brew,1.0-6
brglm,0.6.2
brglm2,0.5.1
bridgesampling,0.7-2
brms,2.10.0
Brobdingnag,1.2-6
broom,0.5.2
Cairo,1.5-10
callr,3.3.1
car,3.0-3
carData,3.0-2
caret,6.0-84
caTools,1.17.1.2
cellranger,1.1.0
checkmate,1.9.4
class,7.3-15
classInt,0.4-1
cli,1.1.0
clipr,0.7.0
clisymbols,1.2.0
cluster,2.1.0
clusterGeneration,1.3.4
coda,0.19-3
codetools,0.2-16
coin,1.3-1
colorspace,1.4-1
colourpicker,1.0
commonmark,1.7
compactr,0.1
compiler,3.6.1
countrycode,1.1.0
covr,3.3.1
cowplot,1.0.0
coxed,0.3.0
coxphf,1.13
crayon,1.3.4
crosstalk,1.0.0
curl,4.0
dagitty,0.2-2
data.table,1.12.2
datapasta,3.0.0
datasets,3.6.1
dataverse,0.2.0
DBI,1.0.0
dbplyr,1.4.2
desc,1.2.0
devtools,2.2.0
dichromat,2.0-0
digest,0.6.20
directlabels,2018.05.22
doParallel,1.0.15
doRNG,1.7.1
dplyr,0.8.3
DT,0.8
dtplyr,0.0.3
dygraphs,1.1.1.6
e1071,1.7-2
ellipsis,0.2.0.1
emojifont,0.5.2
enrichwith,0.2
evaluate,0.14
extrafont,0.17
extrafontdb,1.0
fansi,0.4.0
farver,1.1.0
forcats,0.4.0
foreach,1.4.7
forecast,8.9
foreign,0.8-72
formatR,1.7
Formula,1.2-3
fracdiff,1.4-2
FRACTION,1.0
fs,1.3.1
future,1.14.0
gapminder,0.3.0
gdtools,0.2.0
geepack,1.2-1
generics,0.0.2
GGally,1.4.0
gganimate,1.0.3
ggdag,0.2.0
ggExtra,0.9
ggforce,0.3.1
ggplot2,3.2.1
ggpubr,0.2.3
ggraph,2.0.0
ggrepel,0.8.1
ggridges,0.5.1
ggsci,2.9
ggsignif,0.6.0
